Food,Amount,Calories,Protein(g),Carbs(g),Fat(g)
Protein powder,3/4 scoop,89,18,2,1
Unsweetened almond milk,250ml,31,1,0,3
Banana,120g,116,1,28,0
Natural peanut butter,10 g,67.6,3.2,2,5.2
TOTAL,-,236,20,30,4
